Piece Title,Genre,Bpm,Key,Time Signature,Mode Ionian,Duration in seconds,Instrument 1,Instrument 2,Instrument 3,Instrument 4,Instrument 5,Mood 1,Mood 2,Mood 3,Mood 4,Mood 5,Production Style,Overall Quality,TV PLACEMENT YES: TARGET
Princess,1,120,3,1,1,511,1,2,3,4,5,2,19,7,6,14,5,2,0
Pump,2,130,17,1,3,416,12,7,9,10,11,21,12,0,0,0,2,3,0
Premonition,2,120,13,1,6,416,12,13,0,0,0,14,12,16,0,0,7,3,0
Mountain Passage,2,108,12,1,1,408,12,13,0,0,0,14,3,14,0,0,7,5,0
Sky Passage 2,2,106,1,1,1,398,12,13,0,0,0,14,19,3,0,0,7,4,0
Sea Passage,2,120,9,1,1,396,12,14,8,13,0,1,2,6,14,0,7,4,0
Coral Empire,2,120,1,1,1,386,14,8,0,0,0,6,1,7,0,0,7,3,0
Sky Passage 1,2,53,1,1,1,380,12,13,0,0,0,3,10,21,14,0,7,4,0
Tide,2,120,12,1,6,370,12,14,8,13,0,3,8,9,4,0,7,3,0
Spirit Passage,2,116,16,1,6,346,15,17,12,13,0,4,14,18,9,0,7,4,0
Spirit Gate,2,120,1,1,1,342,7,3,15,13,0,3,4,11,14,0,7,4,0
Night Passage 3,2,123,16,1,6,334,12,13,0,0,0,14,4,6,0,0,7,4,0
Hexx 24,1,120,21,1,6,324,8,78,1,0,0,21,3,0,0,0,14,3,0
Sendai,2,120,16,1,6,316,10,8,12,13,0,4,3,14,19,6,7,3,0
Here Still,2,111,13,1,6,305,12,13,0,0,0,14,4,6,0,0,7,3,0
Darkness,1,100,18,1,6,304,7,10,1,2,18,3,10,12,21,0,12,3,0
Storm Pass,2,120,16,1,6,300,12,8,13,0,0,3,14,17,0,0,7,4,0
Candy for my Mind,3,80,11,1,1,296,12,8,20,21,11,5,1,2,7,0,6,3,0
To Cross the Water,2,99,44,1,6,291,12,14,8,3,0,4,14,9,6,0,7,3,0
Stellate,4,170,20,1,6,288,12,8,11,0,0,17,2,1,19,0,4,2,0
Bone Song,2,120,0,1,6,282,12,8,13,0,0,4,7,0,0,0,7,4,0
Snakes Spiral,1,133,20,1,6,283,1,12,11,0,0,3,21,12,11,0,2,4,0
Night Passage 1,2,88,15,1,6,267,12,8,13,0,0,11,4,3,14,9,7,4,0
Love you till the End of Me,3,78,11,1,1,266,6,20,11,1,8,13,18,11,0,0,2,5,0
Shanghai Lights,1,110,7,1,6,263,2,12,8,23,1,7,10,2,0,0,11,3,0
Tidal Wave,2,120,13,1,6,262,12,8,13,0,0,21,3,8,12,0,7,4,0
Night Passage 2,2,105,14,1,6,257,12,13,0,0,0,14,3,21,0,0,7,4,0
Ballad of the Bat,1,98,14,1,2,256,12,1,11,20,0,11,21,0,0,0,2,3,0
Cosmic Archaeology,5,130,20,1,6,251,11,24,3,1,12,9,4,13,0,0,2,3,0
Daisy,3,100,22,1,6,238,20,12,6,11,1,9,3,11,21,0,2,5,0
Black Sand,2,120,1,1,1,236,14,12,8,0,0,6,1,7,0,0,7,3,0
Ritual,2,120,16,1,6,230,17,12,14,10,0,14,4,6,19,0,7,3,0
Labyrinth,6,140,17,1,6,228,11,12,8,0,0,9,18,0,0,0,3,4,0
Eastern Conflict,1,132,18,1,6,226,2,11,18,23,26,10,8,3,21,0,2,4,0
Tropical Sugar,3,115,2,1,1,218,11,6,12,8,5,2,1,0,0,0,2,2,0
Free,3,105,6,1,4,218,7,8,11,20,0,1,2,5,0,0,2,2,0
Halo High,3,90,8,1,1,209,12,8,11,1,20,1,2,0,0,0,6,5,0
SineChron,4,125.5,18,1,6,206,12,8,14,11,0,9,5,0,0,0,3,4,0
Holding my Breath,3,86,10,1,1,206,6,21,11,9,0,9,13,18,0,0,2,4,0
Bioluminescent Currents,2,120,1,1,1,206,14,12,8,0,0,6,1,7,4,14,7,3,0
Painful Circumstances (Gm),1,101,20,1,6,205,1,24,10,18,0,3,18,11,9,12,2,4,1
